Unmapped Part Numbers Report
Generated on: 2025-05-02 14:35:37

Total Parts: 3746
Mapped Parts: 2785
Unmapped Parts: 961

Unique Unmapped Part Numbers:
============================================================================================================================================
Part Number	Description	Job Number	Operation	Op Description	Quantity
--------------------------------------------------------------------------------------------------------------------------------------------
EFO01046-ES18998	STAGE CABLE, MPS SERIES, DC MOTOR, LENGTH 15DM	516054	20	CMPv2 Stage Wiring	10
GTS - Warranty Return	MCA56089 SN 0618AG GTSE-43522 (Mechanical)	501591	10	CMPv2 Crossed-Roller Linear	2
BLM-142-A-AC-H-S-750	FORCER, BLM-142-A-AC, HALLS, STD PREP, 750MM CABLES	511535	10	CMPv2 Crossed-Roller Linear	21
MCA25351	CYLINDER AIR, 15.9MM BORE, 100MM STRK, <AIRPEL#MP16S100NV>	497694	10	CMPv2 Crossed-Roller Linear	11
MFB02122	BRACKET, ATOM READHEAD ADRS-150	510679	10	CMPv2 Crossed-Roller Linear	26
EFO01094-01	Assy: AGV Motor Cable Prepped	500980	10	CMPv2 Crossed-Roller Linear	147
MCA56089	Cylinder, Airpel Plus, 9.3mm Bore, Stroke: 160mm, Airpot #MP9S160.0NF	491536	30	CMPv2 Crossed-Roller Linear	2
MCA58752	Cylinder Air, 15.9 mm Bore, 300 mm Stroke <Airpel Part# MP16S300.0NV>	496450	30	CMPv2 Crossed-Roller Linear	5
MCA56089	Cylinder, Airpel Plus, 9.3mm Bore, Stroke: 160mm, Airpot #MP9S160.0NF	493090	30	CMPv2 Crossed-Roller Linear	8
MAL02271-12	10MM X MIRROR & MOUNT, OPTOSIC MIRROR, 257-H COATING, 5MM MOUNT	497022	10	CMPv2 Galvo Systems	1
GTS - Warranty Return	AGV20HPO-2-355-ES19412 SN 454563-03 GTSE-42543 (Mechanical)	498753	20	CMP-Galvo Systems	1
MAL02276-07	20MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 355-D COATING, 5MM MOUNT	497089	10	CMPv2 Galvo Systems	2
MAL02274-05	15MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 343-D COATING, OPTIMIZED FOR AOI 27.5°-47.5°, 5MM MOUNT	497084	10	CMPv2 Galvo Systems	5
GTS - Non-Warranty Return	AGV20XPO-343-E2-ES19805 SN 373972-01 GTSE-44912 (Mechanical)	513051	20	CMP-Galvo Systems	1
MFB32861-01	Galvo 1, 1030nm, AGV5D	491847	10	CMPv2 Galvo Systems	1
MAL02275-04	20MM X MIRROR & MOUNT, OPTOSIC MIRROR, 343-D COATING, OPTIMIZED FOR AOI 35°-55°, 5MM MOUNT	497086	10	CMPv2 Galvo Systems	1
MAL02271-03	10MM X MIRROR & MOUNT, OPTOSIC MIRROR, 355-D COATING, 5MM MOUNT	497019	10	CMPv2 Galvo Systems	10
MAL02287-14	30MM X MIRROR & MOUNT, OPTOSIC MIRROR, 1080-H COATING, 7MM MOUNT	497094	10	CMPv2 Galvo Systems	10
MFR02050	ROTOR ASSY, 48MM GALVO MOTOR	520821	10	CMP-Galvo Systems	72
ES20040-1	High-dynamic laser scan head-ES20040 9.3 um coated mirrors	490060	10	CMPv2 Galvo Systems	1
GTS - Non-Warranty Return	AGV10HPO SN 280572-05 GTSE-41160 (Mechanical)	493539	20	CMP-Galvo Systems	1
MAL02275-07	20MM X MIRROR & MOUNT, OPTOSIC MIRROR, 355-D COATING, 5MM MOUNT	497087	10	CMPv2 Galvo Systems	3
MAL02276-08	20MM Y MIRROR & MOUNT, OPTOSIC MIRROR, ULTRAMAX CO2 (9300 nm and 10.6 um) COATING, 5MM MOUNT	497090	10	CMPv2 Galvo Systems	3
MAL02287-06	30MM X MIRROR & MOUNT, OPTOSIC MIRROR, 522-H COATING, 7MM MOUNT	497092	10	CMPv2 Galvo Systems	9
MAL02288-02	OBSOLETE - DO NOT ORDER. REPLACE WITH MAL02288-12 (30MM Y MIRROR AND MOUNT, OPTOSIC MIRROR, ULTRAMAX 10.6 UM COATING, 7MM MOUNT)	497096	10	CMPv2 Galvo Systems	8
MAL02288-14	30MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 1080-H COATING, 7MM MOUNT	497099	10	CMPv2 Galvo Systems	10
MAL02288-06	30MM Y MIRROR & MOUNT, OPTOSIC MIRROR, 522-H COATING, 7MM MOUNT	497097	10	CMPv2 Galvo Systems	9
MAL02295-08	20MM X MIRROR, UNMOUNTED, OPTOSIC MIRROR, ULTRAMAX CO2 (9300 nm and 10.6 um) COATING	497100	10	CMPv2 Galvo Systems	1
MAL02273-01	15MM X MIRROR & MOUNT, OPTOSIC MIRROR, 1064-H COATING, 5MM MOUNT (FOR 1030NM APPLICATIONS ONLY)	497036	10	CMPv2 Galvo Systems	10
